ID,出生到配種成功,配種到成功,配種到分娩,分娩到斷乳,胎次,母耳號,父耳號,品種,出生日期
2|66|72|7134|3,1246.0,0.0,-28.0,24.0,7.0,,,LY,2013-08-21
2|66|72|7170|3,1187.0,0.0,-32.0,27.0,7.0,,,LY,2013-08-22
2|66|72|7176|3,1170.0,0.0,122.0,-139.0,7.0,,,LY,2013-06-30
2|66|72|7206|3,1180.0,0.0,-28.0,23.0,7.0,,,YL,2013-08-22
2|66|72|7263|3,1191.0,0.0,-30.0,25.0,7.0,,,YL,2013-08-21
1|66|72|7311|5,,,,,0.0,,,D,2015-05-12
2|66|72|7320|5,579.0,0.0,-28.0,23.0,3.0,,,LY,2015-04-11
2|66|72|7350|3,1145.0,0.0,-29.0,24.0,7.0,,,LY,2013-08-22
2|66|72|7351|3,862.0,0.0,-33.0,28.0,5.0,,,LY,2013-08-21
2|66|72|7506|3,872.0,0.0,-31.0,26.0,5.0,,,LY,2013-08-22
1|66|72|7539|5,,,,,0.0,,,D,2015-04-08
2|66|72|7573|3,1155.0,0.0,117.0,22.0,7.0,,,LY,2013-06-30
2|66|72|7579|3,1159.0,0.0,-28.0,24.0,7.0,,,LY,2013-08-21
1|66|72|7591|3,,,,,0.0,,,D,2013-09-30
2|66|72|7633|3,1163.0,0.0,-29.0,24.0,7.0,,,YL,2013-08-21
2|66|72|7719|1,1631.0,0.0,119.0,28.0,10.0,,,LY,2011-06-01
2|66|72|7747|5,556.0,0.0,120.0,-124.0,3.0,,,LY,2015-03-13
2|66|72|7755|5,548.0,0.0,117.0,-122.0,3.0,,,LY,2015-03-31
2|66|72|7767|1,1637.0,0.0,118.0,29.0,10.0,,,LY,2011-06-02
2|66|72|7822|1,1686.0,0.0,-34.0,29.0,10.0,,,YL,2011-05-17
2|66|72|7866|3,1154.0,0.0,-28.0,23.0,7.0,,,LY,2013-09-03
2|66|72|7874|3,1206.0,0.0,-29.0,24.0,7.0,,,LY,2013-09-03
2|66|72|7884|1,1625.0,0.0,118.0,28.0,10.0,,,LY,2011-05-17
2|66|72|7888|3,1102.0,0.0,117.0,24.0,6.0,,,LY,2013-09-03
2|66|72|7926|3,1132.0,0.0,-27.0,23.0,6.0,,,LY,2013-09-03
2|66|72|7928|3,1163.0,0.0,-29.0,24.0,7.0,,,LY,2013-09-03
2|66|72|7961|1,1623.0,0.0,119.0,27.0,10.0,,,LYL,2011-06-03
2|66|72|7990|1,1633.0,0.0,116.0,27.0,10.0,,,LY,2011-04-22
2|66|72|8003|1,1608.0,0.0,116.0,27.0,10.0,,,LY,2011-04-23
2|66|72|8006|3,1238.0,0.0,-39.0,23.0,7.0,,,LY,2013-09-03
2|66|72|8016|3,1185.0,0.0,-28.0,23.0,7.0,,,LY,2013-09-03
2|66|72|80281|3,1162.0,0.0,-28.0,24.0,7.0,,,LY,2013-09-03
2|66|72|8034|3,1169.0,0.0,-31.0,27.0,7.0,,,YL,2013-09-03
2|66|72|8045|3,873.0,0.0,-41.0,27.0,5.0,,,YL,2013-09-01
2|66|72|8050|1,1670.0,0.0,-29.0,24.0,10.0,,,YL,2011-05-18
2|66|72|8060|3,1114.0,0.0,118.0,-126.0,6.0,,,LY,2013-09-05
2|66|72|8065|1,1614.0,0.0,-39.0,27.0,10.0,,,LY,2011-04-24
2|66|72|8068|3,1196.0,0.0,-42.0,23.0,7.0,,,LY,2013-09-05
2|66|72|8094|1,1604.0,0.0,116.0,25.0,10.0,,,YL,2011-04-23
2|66|72|80941|3,1145.0,0.0,-29.0,24.0,7.0,,,YL,2013-09-05
2|66|72|8100|3,1197.0,0.0,-32.0,3.0,7.0,,,YL,2013-09-05
1|66|72|8103|3,,,,,0.0,,,D,2013-10-18
2|66|72|8106|3,1204.0,0.0,-33.0,25.0,7.0,,,YL,2013-09-05
2|66|72|8107|1,1609.0,0.0,117.0,29.0,10.0,,,LY,2011-06-10
2|66|72|8110|1,1605.0,0.0,119.0,21.0,10.0,,,LY,2011-04-23
2|66|72|81101|3,1155.0,0.0,-30.0,25.0,7.0,,,LY,2013-09-05
2|66|72|8112|1,1611.0,0.0,120.0,26.0,10.0,,,LY,2011-04-23
2|66|72|8132|3,860.0,0.0,-32.0,27.0,5.0,,,LY,2013-09-05
2|66|72|8136|3,1129.0,0.0,-42.0,25.0,6.0,,,LY,2013-09-05
2|66|72|8154|1,1611.0,0.0,117.0,29.0,10.0,,,YL,2011-04-23
1|66|72|8154|2,,,,,0.0,,,D,2012-04-29
2|66|72|8166|1,1620.0,0.0,118.0,26.0,10.0,,,LY,2011-04-23
1|66|72|8171|5,,,,,0.0,,,D,2015-04-24
2|66|72|8176|1,1640.0,0.0,120.0,25.0,10.0,,,LY,2011-04-23
2|66|72|8196|1,1564.0,0.0,115.0,26.0,10.0,,,LYL,2011-04-23
2|66|72|8197|1,1641.0,0.0,-30.0,25.0,10.0,,,YL,2011-04-25
2|66|72|8202|1,1654.0,0.0,115.0,27.0,10.0,,,LYL,2011-04-23
2|66|72|8212|1,1558.0,0.0,117.0,26.0,10.0,,,YL,2011-05-18
2|66|72|8218|1,1620.0,0.0,119.0,28.0,10.0,,,LY,2011-04-24
2|66|72|8244|1,1594.0,0.0,117.0,25.0,10.0,,,LY,2011-05-18
2|66|72|8256|1,1607.0,0.0,118.0,25.0,10.0,,,LY,2011-05-18
2|66|72|8284|2,1470.0,0.0,-40.0,25.0,9.0,,,LY,2012-02-07
2|66|72|8296|1,1630.0,0.0,-31.0,26.0,10.0,,,LY,2011-06-03
2|66|72|8300|1,1652.0,0.0,117.0,28.0,10.0,,,LY,2011-04-25
2|66|72|8310|1,1584.0,0.0,116.0,28.0,10.0,,,YL,2011-06-26
2|66|72|8318|1,1607.0,0.0,117.0,24.0,10.0,,,LY,2011-04-25
2|66|72|83401|3,1145.0,0.0,-25.0,21.0,7.0,,,LY,2013-12-07
2|66|72|8344|1,1596.0,0.0,120.0,25.0,10.0,,,LY,2011-04-25
2|66|72|8352|1,1610.0,0.0,116.0,26.0,10.0,,,LY,2011-05-19
2|66|72|8360|5,459.0,0.0,-55.0,25.0,2.0,,,LY,2015-05-28
2|66|72|8369|3,897.0,0.0,-29.0,25.0,5.0,,,LY,2013-08-22
2|66|72|8371|1,1620.0,0.0,119.0,26.0,10.0,,,LY,2011-06-03
2|66|72|8412|1,1650.0,0.0,117.0,27.0,10.0,,,LY,2011-05-19
2|66|72|8439|1,1616.0,0.0,117.0,29.0,10.0,,,LY,2011-06-03
2|66|72|8506|1,1609.0,0.0,118.0,27.0,10.0,,,LY,2011-04-26
2|66|72|8543|1,1662.0,0.0,115.0,6.0,10.0,,,YL,2011-06-03
2|66|72|8621|1,1586.0,0.0,118.0,26.0,10.0,,,LY,2011-06-03
2|66|72|8687|1,1695.0,0.0,-12.0,7.0,10.0,,,LY,2011-06-26
2|66|72|8757|1,1599.0,0.0,121.0,28.0,10.0,,,LY,2011-06-03
2|66|72|8773|1,1650.0,0.0,120.0,26.0,10.0,,,LY,2011-06-03
2|66|72|8782|1,1590.0,0.0,117.0,28.0,10.0,,,LYL,2011-06-26
2|66|72|8791|1,1565.0,0.0,118.0,21.0,10.0,,,LY,2011-06-03
2|66|72|8807|1,1708.0,0.0,116.0,29.0,10.0,,,LY,2011-06-03
2|66|72|8844|1,1621.0,0.0,116.0,26.0,10.0,,,LY,2011-05-19
2|66|72|8865|1,1586.0,0.0,117.0,10.0,10.0,,,LY,2011-06-03
2|66|72|88891|1,1621.0,0.0,119.0,28.0,10.0,,,LY,2011-06-04
2|66|72|8912|1,1621.0,0.0,116.0,27.0,10.0,,,LY,2011-06-04
2|66|72|8929|1,1566.0,0.0,118.0,28.0,10.0,,,YL,2011-06-04
2|66|72|8936|1,1582.0,0.0,116.0,27.0,10.0,,,LY,2011-05-19
2|66|72|8955|3,1253.0,0.0,-16.0,11.0,8.0,,,LY,2013-08-22
2|66|72|8979|3,1173.0,0.0,-15.0,10.0,7.0,,,LY,2013-08-22
2|66|72|9003|1,1625.0,0.0,117.0,27.0,10.0,,,YL,2011-06-26
2|66|72|9016|1,1598.0,0.0,119.0,26.0,10.0,,,LY,2011-06-04
2|66|72|9041|1,1708.0,0.0,121.0,26.0,10.0,,,LY,2011-06-04
2|66|72|9049|1,1622.0,0.0,117.0,29.0,10.0,,,LY,2011-06-04
1|66|72|9053|5,,,,,0.0,,,D,2015-05-22
2|66|72|9069|1,1719.0,0.0,116.0,27.0,11.0,,,LY,2011-06-04
2|66|72|90821|1,1624.0,0.0,119.0,26.0,10.0,,,LY,2011-06-26
2|66|72|9106|1,1585.0,0.0,-32.0,26.0,10.0,,,LY,2011-06-04
2|66|72|9119|1,1611.0,0.0,118.0,27.0,10.0,,,YLL,2011-06-26
2|66|72|9122|1,1581.0,0.0,117.0,21.0,10.0,,,LYL,2011-05-19
2|66|72|9149|1,1619.0,0.0,120.0,29.0,10.0,,,LY,2011-06-11
2|66|72|9178|1,1597.0,0.0,119.0,27.0,10.0,,,YL,2011-06-04
2|66|72|91791|1,1626.0,0.0,119.0,26.0,10.0,,,LY,2011-06-11
1|66|72|9235|3,,,,,0.0,,,D,2013-11-26
2|66|72|9244|1,1594.0,0.0,115.0,4.0,10.0,,,LY,2011-05-19
2|66|72|9264|1,1620.0,29.0,-60.0,27.0,10.0,,,LY,2011-06-27
2|66|72|9268|1,1653.0,0.0,-30.0,26.0,10.0,,,LY,2011-06-27
2|66|72|9278|1,1582.0,0.0,117.0,29.0,10.0,,,LY,2011-05-19
2|66|72|9284|1,1658.0,0.0,117.0,26.0,10.0,,,LY,2011-06-27
2|66|72|9285|1,1652.0,0.0,119.0,26.0,10.0,,,LY,2011-06-27
2|66|72|9418|1,1594.0,0.0,121.0,27.0,10.0,,,LY,2011-05-21
1|66|72|9543|6,,,,,0.0,,,D,2016-03-24
2|66|72|9552|1,1596.0,0.0,118.0,28.0,10.0,,,YL,2011-06-12
2|66|72|9673|1,1637.0,0.0,115.0,23.0,10.0,,,LY,2011-06-28
2|66|72|9718|5,482.0,0.0,117.0,-148.0,2.0,,,LY,2015-05-31
2|66|72|9748|1,1633.0,0.0,118.0,27.0,10.0,,,LY,2011-06-25
2|66|72|9748|6,255.0,0.0,,,1.0,,,LY,2016-04-22
2|66|72|9758|5,,,,,0.0,,,LY,2015-05-31
2|66|72|9804|6,,,,,0.0,,,LY,2016-05-09
2|66|72|98601|1,1599.0,0.0,116.0,26.0,10.0,,,LYL,2011-06-13
2|66|72|10000|5,602.0,0.0,-27.0,22.0,3.0,,,LY,2015-05-06
1|66|72|10005|3,,,,,0.0,,,D,2013-12-28
2|66|72|10026|1,1663.0,0.0,-31.0,26.0,10.0,,,LYL,2011-07-07
2|66|72|10066|1,1600.0,0.0,116.0,28.0,10.0,,,LY,2011-07-08
2|66|72|101191|1,1660.0,0.0,116.0,27.0,10.0,,,LY,2011-06-14
2|66|72|10152|1,1600.0,0.0,117.0,27.0,10.0,,,LY,2011-07-08
2|66|72|10154|1,1680.0,45.0,117.0,28.0,10.0,,,LY,2011-07-08
1|66|72|10185|3,,,,,0.0,,,D,2013-12-21
2|66|72|10200|6,385.0,0.0,-8.0,6.0,2.0,,,LY,2016-01-01
2|66|72|10206|3,1187.0,0.0,-27.0,23.0,7.0,,,LY,2013-08-16
2|66|72|10260|1,1655.0,0.0,-32.0,27.0,10.0,,,LY,2011-07-22
2|66|72|10274|3,1321.0,0.0,-26.0,21.0,8.0,,,LY,2013-06-05
2|66|72|10309|1,1755.0,0.0,118.0,24.0,10.0,,,LY,2011-07-23
2|66|72|10330|6,290.0,0.0,,,1.0,,,LY,2016-01-01
2|66|72|10340|1,1818.0,58.0,-90.0,27.0,10.0,,,LY,2011-07-08
2|66|72|10373|5,577.0,0.0,-30.0,23.0,3.0,,,LY,2015-06-17
2|66|72|10437|1,1638.0,0.0,117.0,25.0,10.0,,,LY,2011-08-25
2|66|72|10469|5,410.0,0.0,-32.0,24.0,2.0,,,LY,2015-09-22
2|66|72|10482|1,1607.0,0.0,117.0,29.0,10.0,,,LY,2011-05-22
2|66|72|10519|1,1656.0,0.0,118.0,25.0,10.0,,,LY,2011-07-23
1|66|72|10599|3,,,,,0.0,,,D,2013-12-30
2|66|72|10675|1,1625.0,0.0,116.0,29.0,10.0,,,LY,2011-08-25
2|66|72|10695|5,575.0,0.0,-30.0,25.0,3.0,,,LY,2015-06-21
2|66|72|10744|1,1662.0,0.0,118.0,28.0,10.0,,,LY,2011-05-22
2|66|72|10746|4,1011.0,0.0,-33.0,28.0,6.0,,,LY,2014-02-21
2|66|72|10842|3,592.0,0.0,116.0,27.0,3.0,,,LY,2013-12-13
2|66|72|10868|3,934.0,0.0,-32.0,27.0,5.0,,,LY,2013-12-13
2|66|72|10902|3,741.0,0.0,-30.0,24.0,4.0,,,YL,2013-12-13
2|66|72|10908|1,1627.0,0.0,117.0,26.0,10.0,,,YL,2011-07-23
2|66|72|10926|1,1600.0,0.0,117.0,26.0,10.0,,,LY,2011-07-09
2|66|72|10992|1,1598.0,0.0,118.0,27.0,10.0,,,LY,2011-07-09
2|66|72|11000|1,1607.0,0.0,115.0,28.0,10.0,,,YL,2011-07-23
2|66|72|11002|1,1592.0,0.0,-29.0,26.0,10.0,,,YL,2011-07-09
2|66|72|11023|6,256.0,0.0,,,1.0,,,LY,2016-04-27
2|66|72|11024|1,1733.0,0.0,118.0,27.0,10.0,,,LY,2011-07-24
2|66|72|11032|1,1618.0,0.0,116.0,26.0,10.0,,,LY,2011-07-24
2|66|72|110321|3,1081.0,0.0,-32.0,27.0,6.0,,,LY,2013-12-13
2|66|72|11036|1,1712.0,0.0,117.0,29.0,10.0,,,LY,2011-07-24
2|66|72|11039|1,1582.0,0.0,117.0,-121.0,10.0,,,LY,2011-07-24
2|66|72|11090|1,1620.0,0.0,118.0,29.0,10.0,,,LY,2011-07-24
2|66|72|111101|1,1709.0,0.0,-33.0,28.0,10.0,,,LY,2011-07-24
2|66|72|11119|1,1639.0,0.0,116.0,26.0,10.0,,,LY,2011-07-24
2|66|72|111201|1,1544.0,0.0,112.0,3.0,9.0,,,YL,2011-07-24
2|66|72|11130|3,1035.0,0.0,-29.0,24.0,6.0,,,LY,2013-12-17
2|66|72|11146|1,1623.0,0.0,-45.0,27.0,10.0,,,LY,2011-07-25
2|66|72|11154|3,716.0,0.0,116.0,5.0,4.0,,,LY,2013-12-17
2|66|72|11199|1,1637.0,0.0,119.0,27.0,10.0,,,YL,2011-07-25
2|66|72|11206|3,1017.0,0.0,117.0,-122.0,6.0,,,LY,2013-12-17
2|66|72|11208|3,1049.0,0.0,-28.0,23.0,6.0,,,LY,2013-12-17
2|66|72|11222|3,1035.0,0.0,-30.0,25.0,6.0,,,LY,2013-12-17
2|66|72|11265|1,1484.0,0.0,116.0,27.0,9.0,,,LY,2011-08-25
2|66|72|11272|1,1691.0,0.0,118.0,27.0,10.0,,,LY,2011-07-25
2|66|72|11317|1,1807.0,0.0,-35.0,29.0,10.0,,,LY,2011-07-25
2|66|72|11319|1,1642.0,0.0,118.0,27.0,10.0,,,LY,2011-08-25
2|66|72|11328|3,1009.0,0.0,118.0,-123.0,6.0,,,LY,2013-12-17
2|66|72|11331|1,1645.0,0.0,117.0,28.0,10.0,,,LY,2011-07-25
2|66|72|11350|3,1013.0,0.0,115.0,-119.0,6.0,,,LY,2013-12-19
2|66|72|11361|1,1616.0,0.0,117.0,26.0,10.0,,,LY,2011-07-25
2|66|72|11373|3,1004.0,0.0,117.0,-122.0,6.0,,,LY,2013-12-19
2|66|72|11398|1,1718.0,21.0,-55.0,29.0,10.0,,,LY,2011-08-26
2|66|72|11404|2,1448.0,0.0,-32.0,26.0,9.0,,,LY,2012-03-14
2|66|72|11428|3,1015.0,0.0,117.0,-122.0,6.0,,,LY,2013-12-19
2|66|72|11520|1,1651.0,0.0,116.0,23.0,10.0,,,YL,2011-09-16
2|66|72|11591|1,1637.0,0.0,118.0,28.0,10.0,,,LY,2011-08-26
2|66|72|11623|1,1626.0,0.0,-30.0,25.0,10.0,,,LY,2011-07-25
2|66|72|11653|1,1651.0,0.0,116.0,26.0,10.0,,,LY,2011-09-16
2|66|72|11659|1,1697.0,0.0,117.0,21.0,10.0,,,LY,2011-09-16
2|66|72|11663|1,1777.0,0.0,117.0,25.0,11.0,,,LY,2011-09-16
2|66|72|11700|3,762.0,21.0,-52.0,27.0,4.0,,,YL,2013-12-19
2|66|72|11733|4,1029.0,0.0,-31.0,26.0,6.0,,,LY,2014-01-08
2|66|72|11753|1,1620.0,0.0,115.0,27.0,10.0,,,LYL,2011-09-16
2|66|72|11764|2,1660.0,0.0,118.0,-123.0,10.0,,,LY,2012-03-17
2|66|72|11769|1,1499.0,0.0,-36.0,26.0,9.0,,,YL,2011-09-16
2|66|72|11791|1,1447.0,0.0,118.0,24.0,9.0,,,YL,2011-08-26
2|66|72|11801|1,1637.0,0.0,118.0,28.0,10.0,,,LY,2011-08-26
2|66|72|11809|1,1668.0,0.0,117.0,26.0,10.0,,,LY,2011-08-26
2|66|72|11810|1,1470.0,0.0,116.0,7.0,9.0,,,LY,2011-09-16
2|66|72|11924|3,1075.0,0.0,-33.0,28.0,6.0,,,LY,2013-12-19
2|66|72|11927|3,1131.0,0.0,-27.0,22.0,7.0,,,YL,2013-12-19
2|66|72|11953|1,1633.0,0.0,116.0,26.0,10.0,,,YL,2011-08-27
1|66|72|11957|2,,,,,0.0,,,D,2012-02-08
2|66|72|11995|1,1675.0,0.0,123.0,1.0,10.0,,,LY,2011-09-17
1|66|72|12047|5,,,,,0.0,,,D,2015-08-04
2|66|72|12052|6,274.0,0.0,,,1.0,,,LY,2016-04-27
2|66|72|12054|6,251.0,0.0,,,1.0,,,LY,2016-04-27
1|66|72|12071|5,,,,,0.0,,,D,2015-08-04
1|66|72|12075|5,,,,,0.0,,,D,2015-08-04
2|66|72|12076|4,1034.0,0.0,-29.0,24.0,6.0,,,YL,2014-01-08
2|66|72|12122|1,1484.0,0.0,119.0,-129.0,9.0,,,YL,2011-09-17
2|66|72|12162|6,271.0,0.0,,,1.0,,,LY,2016-04-27
2|66|72|12173|3,1133.0,0.0,-23.0,18.0,7.0,,,LY,2013-12-20
2|66|72|12179|1,1619.0,0.0,117.0,28.0,10.0,,,LYL,2011-09-17
2|66|72|12258|1,1523.0,0.0,116.0,25.0,9.0,,,LY,2011-09-30
2|66|72|12296|3,1149.0,0.0,-28.0,24.0,7.0,,,LY,2013-09-21
2|66|72|12320|4,846.0,0.0,-33.0,28.0,5.0,,,LY,2014-02-11
2|66|72|12366|1,1675.0,0.0,120.0,23.0,10.0,,,LY,2011-09-30
2|66|72|12383|1,1459.0,0.0,121.0,1.0,9.0,,,LY,2011-09-17
2|66|72|12421|1,1697.0,0.0,115.0,24.0,10.0,,,LY,2011-09-18
2|66|72|12430|1,1647.0,0.0,116.0,28.0,10.0,,,LY,2011-09-18
2|66|72|12465|1,1643.0,0.0,118.0,29.0,10.0,,,LY,2011-09-30
2|66|72|12466|1,1653.0,0.0,117.0,28.0,10.0,,,LYL,2011-09-18
2|66|72|12472|1,1608.0,0.0,117.0,28.0,10.0,,,LY,2011-09-18
2|66|72|12473|1,1582.0,0.0,118.0,28.0,10.0,,,YL,2011-09-18
1|66|72|12493|4,,,,,0.0,,,D,2014-03-09
2|66|72|12516|1,1657.0,0.0,120.0,27.0,10.0,,,LY,2011-09-30
2|66|72|12540|1,1628.0,0.0,118.0,28.0,10.0,,,LY,2011-09-18
2|66|72|12544|1,1570.0,0.0,117.0,26.0,9.0,,,LY,2011-09-30
2|66|72|12547|1,1655.0,0.0,117.0,28.0,10.0,,,LY,2011-09-30
2|66|72|12626|4,1004.0,0.0,-29.0,24.0,6.0,,,LY,2014-02-10
2|66|72|12648|4,995.0,0.0,117.0,-122.0,6.0,,,LY,2014-01-11
2|66|72|12652|4,1034.0,0.0,-28.0,23.0,6.0,,,LY,2014-01-11
2|66|72|12658|4,778.0,0.0,-32.0,28.0,4.0,,,LY,2014-01-11
2|66|72|12660|3,800.0,0.0,-34.0,28.0,4.0,,,YL,2013-09-22
1|66|72|12665|5,,,,,0.0,,,D,2015-08-19
2|66|72|12666|4,876.0,0.0,119.0,17.0,5.0,,,LY,2014-01-11
2|66|72|12686|1,1679.0,0.0,117.0,24.0,10.0,,,LY,2011-09-30
2|66|72|12711|1,1600.0,0.0,117.0,25.0,10.0,,,YL,2011-09-18
2|66|72|12724|1,1641.0,30.0,118.0,27.0,10.0,,,LY,2011-09-30
2|66|72|12744|4,1105.0,0.0,-22.0,17.0,6.0,,,LY,2014-01-14
2|66|72|12746|4,607.0,0.0,120.0,-125.0,3.0,,,LY,2014-01-11
2|66|72|12778|4,704.0,0.0,-29.0,26.0,4.0,,,LY,2014-01-17
2|66|72|12802|1,1670.0,0.0,117.0,25.0,10.0,,,LY,2011-09-30
2|66|72|12818|1,1586.0,0.0,116.0,26.0,10.0,,,LY,2011-09-18
2|66|72|128181|4,987.0,31.0,-75.0,28.0,5.0,,,LY,2014-02-10
2|66|72|12830|3,847.0,0.0,-32.0,28.0,5.0,,,LY,2013-09-22
2|66|72|12831|4,1005.0,0.0,-58.0,26.0,5.0,,,YL,2014-01-08
2|66|72|12847|4,590.0,0.0,118.0,27.0,3.0,,,LY,2014-01-08
2|66|72|12852|1,1597.0,0.0,-29.0,23.0,10.0,,,LY,2011-09-18
2|66|72|12854|1,1617.0,0.0,-30.0,26.0,10.0,,,LY,2011-09-18
2|66|72|12930|1,1626.0,0.0,120.0,28.0,10.0,,,LY,2011-09-18
2|66|72|12960|4,1030.0,135.0,-166.0,26.0,5.0,,,LY,2014-01-24
2|66|72|12964|4,674.0,43.0,118.0,28.0,3.0,,,LY,2014-01-24
2|66|72|12980|4,859.0,0.0,-30.0,25.0,5.0,,,LY,2014-01-24
2|66|72|12982|4,1060.0,0.0,-29.0,24.0,6.0,,,LY,2014-01-24
2|66|72|12997|1,1627.0,0.0,119.0,26.0,10.0,,,LY,2011-10-21
2|66|72|13005|1,1599.0,0.0,118.0,25.0,10.0,,,LY,2011-09-18
2|66|72|13010|4,1014.0,0.0,-28.0,23.0,6.0,,,LY,2014-01-24
1|66|72|13031|5,,,,,0.0,,,D,2015-08-28
2|66|72|13072|4,1001.0,0.0,-30.0,25.0,6.0,,,YL,2014-01-27
2|66|72|13082|4,811.0,115.0,114.0,29.0,4.0,,,LY,2014-01-27
2|66|72|13090|4,1007.0,0.0,-29.0,25.0,6.0,,,LY,2014-01-27
2|66|72|13122|3,1127.0,0.0,-27.0,23.0,7.0,,,LY,2013-09-22
2|66|72|13130|3,1093.0,0.0,118.0,-122.0,6.0,,,LY,2013-09-22
2|66|72|13136|3,1140.0,0.0,-29.0,24.0,7.0,,,LY,2013-09-27
2|66|72|13149|4,783.0,51.0,-98.0,27.0,4.0,,,LY,2014-01-10
2|66|72|13204|4,635.0,0.0,-55.0,27.0,3.0,,,LY,2014-06-29
2|66|72|13205|1,1649.0,0.0,119.0,27.0,10.0,,,YL,2011-10-02
2|66|72|13206|4,862.0,0.0,-28.0,23.0,5.0,,,LY,2014-06-29
2|66|72|13213|4,1010.0,0.0,-29.0,25.0,6.0,,,LY,2014-01-10
2|66|72|13218|4,933.0,0.0,117.0,-147.0,5.0,,,LY,2014-03-01
2|66|72|13230|4,840.0,0.0,-26.0,23.0,5.0,,,YL,2014-06-29
2|66|72|13245|4,1010.0,0.0,-29.0,25.0,6.0,,,LY,2014-01-10
2|66|72|13284|1,1641.0,0.0,117.0,26.0,10.0,,,LY,2011-10-02
2|66|72|13289|5,,,,,0.0,,,LY,2015-11-09
2|66|72|13295|1,1649.0,0.0,119.0,27.0,10.0,,,YL,2011-10-02
2|66|72|13314|3,823.0,0.0,-29.0,23.0,4.0,,,LY,2013-09-22
2|66|72|13315|1,1522.0,0.0,-29.0,24.0,9.0,,,YL,2011-10-02
1|66|72|13357|4,,,,,0.0,,,D,2014-03-27
2|66|72|13379|4,769.0,0.0,-38.0,27.0,4.0,,,YL,2014-02-10
2|66|72|13398|4,1012.0,0.0,-28.0,23.0,6.0,,,LY,2014-02-15
1|66|72|13401|4,,,,,0.0,,,D,2014-03-27
2|66|72|13410|4,927.0,0.0,119.0,-124.0,5.0,,,LY,2014-03-03
2|66|72|13430|1,1463.0,0.0,119.0,25.0,9.0,,,LY,2011-10-03
2|66|72|13435|4,1018.0,0.0,-29.0,24.0,6.0,,,LY,2014-01-13
2|66|72|13437|6,278.0,0.0,,,1.0,,,LY,2016-04-27
2|66|72|13452|3,1125.0,21.0,-65.0,25.0,6.0,,,LY,2013-09-27
2|66|72|13460|1,1701.0,0.0,118.0,24.0,10.0,,,LY,2011-10-03
2|66|72|13482|4,1020.0,0.0,-31.0,26.0,6.0,,,LY,2014-02-15
2|66|72|13492|3,1106.0,110.0,-141.0,27.0,6.0,,,LY,2013-09-23
2|66|72|13514|4,1035.0,0.0,-28.0,24.0,6.0,,,LY,2014-03-03
2|66|72|13550|4,1022.0,0.0,-29.0,24.0,6.0,,,LY,2014-03-03
2|66|72|13561|4,996.0,0.0,-31.0,25.0,6.0,,,LY,2014-02-23
2|66|72|13592|4,841.0,0.0,-33.0,28.0,5.0,,,LY,2014-03-05
2|66|72|13612|4,845.0,0.0,118.0,27.0,5.0,,,YL,2014-03-05
2|66|72|13619|4,878.0,0.0,-31.0,26.0,5.0,,,LY,2014-01-20
2|66|72|13657|1,1501.0,0.0,121.0,28.0,9.0,,,YL,2011-10-03
2|66|72|13669|4,991.0,0.0,-29.0,24.0,6.0,,,LY,2014-02-23
2|66|72|13672|4,971.0,0.0,-28.0,23.0,6.0,,,LY,2014-03-05
2|66|72|13674|3,1163.0,0.0,-26.0,22.0,7.0,,,YL,2013-09-23
2|66|72|136751|1,1613.0,0.0,120.0,29.0,10.0,,,LY,2011-10-03
2|66|72|13689|1,1655.0,0.0,118.0,28.0,10.0,,,LY,2011-10-03
2|66|72|13700|4,1004.0,0.0,-26.0,23.0,6.0,,,YL,2014-03-05
2|66|72|13701|4,882.0,0.0,117.0,25.0,5.0,,,LY,2014-02-13
2|66|72|13708|4,679.0,0.0,-31.0,26.0,4.0,,,LY,2014-03-05
2|66|72|13720|4,995.0,0.0,-32.0,27.0,6.0,,,LY,2014-03-05
2|66|72|13723|1,1464.0,0.0,-42.0,29.0,9.0,,,YL,2011-10-03
2|66|72|13734|4,993.0,0.0,-27.0,23.0,6.0,,,YL,2014-03-05
2|66|72|13738|3,1193.0,0.0,-29.0,24.0,7.0,,,LY,2013-09-23
2|66|72|13747|4,997.0,0.0,-26.0,24.0,6.0,,,LY,2014-02-13
2|66|72|13773|4,870.0,0.0,-33.0,28.0,5.0,,,LY,2014-03-01
2|66|72|13790|4,545.0,0.0,117.0,27.0,3.0,,,LY,2014-03-05
2|66|72|13812|4,1009.0,0.0,-29.0,24.0,6.0,,,LY,2014-03-05
2|66|72|13844|4,1016.0,0.0,-30.0,25.0,6.0,,,LY,2014-03-05
2|66|72|13871|1,1596.0,0.0,117.0,28.0,10.0,,,LY,2011-10-03
2|66|72|13876|4,1020.0,0.0,-31.0,26.0,6.0,,,LY,2014-03-05
2|66|72|13898|3,1167.0,0.0,-28.0,23.0,7.0,,,YL,2013-09-28
2|66|72|138981|4,1002.0,0.0,-30.0,25.0,6.0,,,YL,2014-03-05
2|66|72|13907|4,1007.0,0.0,-31.0,26.0,6.0,,,LY,2014-02-14
2|66|72|13913|1,1627.0,0.0,118.0,24.0,10.0,,,LY,2011-10-03
2|66|72|13935|4,989.0,0.0,-29.0,24.0,6.0,,,LY,2014-02-15
2|66|72|13964|4,963.0,0.0,-28.0,23.0,6.0,,,LY,2014-03-06
2|66|72|13979|4,1011.0,0.0,-27.0,23.0,6.0,,,LY,2014-02-15
